QUESTION,CORRECT ANSWER,INCORRECT ANSWER 1,INCORRECT ANSWER 2,INCORRECT ANSWER 3,EXPLANATION WHY CORRECT IS CORRECT
A general warranty or full Warranty deed contains all 5 covenants.  It covers the time from the transfer or sale back to the patent deed.,True,False,,,
The main use of a quit claim deed is to remove clouds from the title.,True,False,,,
Probate is the process of validating the will of the deceased.  Persons who die with a will are called the intestate.  Persons who die without a will die testator/testatrix.  If they also have no heirs, the estate will escheat to the state.,False,True,,,
A person appointed by the court to handle the estate is a(n) _________.,Administrator,Executor,,,
A person appointed by the testator to handle the estate is a(n) _________.,Executor,Administrator,,,
A gift of real property in a will is a(n):,Devise,Devisee,Devisor,,
The giver of the real property is the:,Devisor,Devise,Devisee,,
The receiver of the real property is the:,Devisee,Devise,Devisor,,
A devisee has ownership of real property transferred through the will by the administrator, usually with a special warranty deed.,True,False,,,
Transfer of property by will is an example of ___________ alienation.,Voluntary,Involuntary,,,
A special warranty deed contains the Covenant Against Encumbrances.  It only covers the time period the ___________________ was responsible for the property.,Grantor,Owner,Agent,,
A quit claim deed conveys all the grantorâ\200\231s ideas , and offers no guarantees.,True,False,,,
A bargain & sale deed is like a(n) ________________ deed, except it gives an implied warranty of ownership.,Quit Claim,Special Warranty,General Warranty,,
Executor or Administrator Deeds are issued following  ________________.,Probate,Closing date,Ratification,,
A gift of personal property in a will is a bequest or legacy.,True,False,,,
Holographic wills are completely:,In the handwriting of the deceased,Oral and can only convey personal property,,,
Nuncupative wills are,Oral and can only convey personal property,In the handwriting of the deceased,,,
When a person dies intestate, the estate would be divided according to the laws of descent,True,False,,,
A land measurement system that uses angles and degrees is metes and bounds.,True,False,,,
A section is ______  mile(s)  square, and contains __________ acre(s).,1, 640,36, 640,36; 5,280,,
The method of land survey that uses base and meridian lines, townships, and sections is called the square or government plat Method,False,True,,,
The principal baseline and meridian for Utah is called:,Great Salt Lake,Wasatch Fault Line,Salt Lake Region,Rocky Mountains,
The largest area used in the U.S. Government Survey (Rectangular Survey) Method is called a ______________________, and contains ____ sections.,Township, 36,Base & Meridian, 1,Section, 36,,
Within cities or highly developed areas, the lot, block and plat method is often used.,True,False,,,
Relative to the Bundle of Rights, which of the following is referring to Possession?,Enter and occupy,No one else has stronger rights,Convey any or all of my rights,How you will utilize the property,
Relative to the Bundle of Rights, which of the following is referring to Quiet Enjoyment?,No one else has stronger rights,Enter and occupy,Convey any or all of my rights,How you will utilize the property,
Relative to the Bundle of Rights, which of the following is referring to Disposition?,Convey any or all of my rights,Enter and occupy,No one else has stronger rights,How you will utilize the property,
Relative to the Bundle of Rights, which of the following is referring to Use and Control?,How you will utilize the property,Enter and occupy,No one else has stronger rights,Convey any or all of my rights,
An interest in real property might also be called eminent domain.,False,True,,,
A gives a life estate to B, and when B dies it will pass to C. When C dies it will come back to A.      A is the Grantor and also holds rights of Riversion.,True,False,,,
A gives a life estate to B, and when B dies it will pass to C. When C dies it will come back to A.      B is the holder of a Life Estate and C is the Remainderman.,True,False,,,
If B should sell his life estate to D, D will hold a life estate Pur Autre Vie.,True,False,,,
The holder of a life estate obtained a loan.  Upon default, the lender could foreclose on the property.,False,True,,,
A life estate pur autre vie may be inherited.,True,False,,,
What are the four unities required for joint tenancy: P.I.T.T.,Possession, Interest, Time, Title,Power, Interest, Time, Title,Punctual, Interest, Table, Title,Possession, Inclusive, Time, Title,
Which of the four unities required for joint tenancy applies also to Tenants in Common:,Possession,Inclusive,Time,Title,
A corporation would take ownership:,in severalty,as joint tenants,tenants in common,,
A general partner is liable for all the debts of the company.,True,False,,,
A limited partner is only involved in a limited amount of company decisions.,False,True,,,
A limited partner's liability equals the amount of his/her investment.,True,False,,,
The minimum number of general partners in a limited partnership is one.,True,False,,,
A general partner is actively involved in the running of the business.,True,False,,,
A â\200\234temporaryâ\200\235 partnership where several entities (companies and/or individuals) work together on a specific project:,joint venture,compromise,joint tenancy,,
The adverse possessor obtains title by filing a ________________ title action.,quiet,quick,he/she wouldn't file anything,,
Identify the element that is NOT required to create a valid deed:,Signature of the grantee,Signature of the grantor,Must be in writing,Grantorâ\200\231s intent,
When asked a question about the validity of a deed, WATCH FOR DELIVERY.,True,False,,,
Regarding the Five Covenants of Warranty in a General Warranty Deed, fill in the blank.    Covenant of _________.,Seizen,Encumbrances,Quiet,Warranty,
Regarding the Five Covenants of Warranty in a General Warranty Deed, fill in the blank.    Covenant Against __________.,Encumbrances,Seizen,Quiet,Warranty,
Regarding the Five Covenants of Warranty in a General Warranty Deed, fill in the blank.    Covenant of _______  Enjoyment.,Quiet,Seizen,Further,Warranty,
Regarding the Five Covenants of Warranty in a General Warranty Deed, fill in the blank.    Covenant of ______  Assurance.,Further,Encumbrances,Quiet,Seizen,
Regarding the Five Covenants of Warranty in a General Warranty Deed, fill in the blank.    Covenant of _______  Forever.,Warranty,Seizen,Encumbrances,Quiet,
An ownership interest in real property is a freehold estate.,True,False,,,
The highest, most complete estate is called:  Fee Simple, or Fee  Simple  Absolute, or Complete Estate.,False,True,,,
When a life estate is used as collateral, after successful foreclosure, the lender would receive:,the life estate rights,fee simple ownership,payment of the debt,,
When one person alone holds title to the property, he/she takes title in:,Severalty,Confidence,Authority,,
People who choose joint tenancy usually do so because they want the right of:,survivorship,partnership,,,
Tenancy by the Entirety is almost like:,Joint Tenancy,Single Tenancy,Ownership Tenancy,,
In Joint Tenancy or Tenancy in Common this court action might be necessary for one person to be able to get their interest out of the property: partition action; the court might order the property sold.,True,False,,,
The parties in a Tenancy by the Entirety must be married.  One party cannot sell  or ________________ without the permission of the other.,Encumber,Improve,Renovate,,
In some states property acquired by a couple during their marriage is called community property.  Separate property may be acquired during the marriage by gift or inheritance.,True,False,,,
A legal person is a __________________________.  A natural person and a legal person can only take title as tenants in common.,corporation,lawyer,business man,,
A corporation cannot die or go to court.,False,True,,,
The purpose of a REIT (Real Estate Investment Trust) is to avoid double:,taxation,jeopardy,,,
A subdivider is required to give part of his/her land for roads.,Statutory dedication,Voluntary dedication,,,
A private individual donates land for public use.,Voluntary dedication,Statutory dedication,,,
The process of transferring some of the liability for a full warranty deed from the grantor to the title company issuing the title insurance policy is called subrogation.  If the grantor is keeping the mineral rights, that information would be in the habendum clause (also called â\200\234to have and to holdâ\200\235 or â\200\234subject toâ\200\235 or â\200\234reservations & exceptions" clause).,True,False,,,
Adverse possession will not work to gain title to:,government property,commercial property,,,
In Utah:  time is 7 years; property taxes must be paid by the adverse possessor.  Possession must be open and notorious, the time period must be continuous, possession must be _________ , it is hostile to the owner's interests, and is held under color of title.,exclusive,inclusive,,,
The document that establishes ownership of:   Real property = Deed;  Personal property = Bill of Sell.,True,False,,,
An abstract term used to denote ownership is:,title,liability,written consent,,
A socio/economic system that allows for ownership of real property:,Allodial,Non-allodial,Socialism,,
Which of the following is NOT one of the physical characteristics of real property?,Moveable,Immobile,Indestructible,Non-homogenous,
Which of the following is NOT another term for personal property:,Habendum,Chattel,Personalty,,
Manner of attachment (annexation),Time it has been in place,How it is adapted to the property,Grantorâ\200\231s intent,Agreement of the parties,
Trade fixtures are always personal property.,True,False,,,
Trade fixtures always belong to the building.,False,True,,,
Real property into personal property is an example of:,Severance,Improvement,Accession,,
Addition made by man is an example of:,Improvement,Severance,Accession,,
Additions made by man or nature is an example of:,Accession,Severance,Improvement,,
